frame_index,count,mask_occupancy,count_delta,status,events
446,0,0.0,0,ALERT,EMPTY_SCENE
447,0,0.0,0,ALERT,EMPTY_SCENE
448,0,0.0,0,ALERT,EMPTY_SCENE
449,0,0.0,0,ALERT,EMPTY_SCENE
450,0,0.0,0,ALERT,EMPTY_SCENE
451,0,0.0,0,ALERT,EMPTY_SCENE
452,0,0.0,0,ALERT,EMPTY_SCENE
453,0,0.0,0,ALERT,EMPTY_SCENE
454,0,0.0,0,ALERT,EMPTY_SCENE
455,0,0.0,0,ALERT,EMPTY_SCENE
456,0,0.0,0,ALERT,EMPTY_SCENE
457,0,0.0,0,ALERT,EMPTY_SCENE
458,0,0.0,0,ALERT,EMPTY_SCENE
459,0,0.0,0,ALERT,EMPTY_SCENE
460,0,0.0,0,ALERT,EMPTY_SCENE
461,0,0.0,0,ALERT,EMPTY_SCENE
462,0,0.0,0,ALERT,EMPTY_SCENE
463,0,0.0,0,ALERT,EMPTY_SCENE
464,0,0.0,0,ALERT,EMPTY_SCENE
465,0,0.0,0,ALERT,EMPTY_SCENE
466,0,0.0,0,ALERT,EMPTY_SCENE
467,0,0.0,0,ALERT,EMPTY_SCENE
468,0,0.0,0,ALERT,EMPTY_SCENE
469,0,0.0,0,ALERT,EMPTY_SCENE
470,0,0.0,0,ALERT,EMPTY_SCENE
471,0,0.0,0,ALERT,EMPTY_SCENE
472,0,0.0,0,ALERT,EMPTY_SCENE
473,0,0.0,0,ALERT,EMPTY_SCENE
474,0,0.0,0,ALERT,EMPTY_SCENE
475,0,0.0,0,ALERT,EMPTY_SCENE
476,0,0.0,0,ALERT,EMPTY_SCENE
477,0,0.0,0,ALERT,EMPTY_SCENE
478,0,0.0,0,ALERT,EMPTY_SCENE
479,0,0.0,0,ALERT,EMPTY_SCENE
480,0,0.0,0,ALERT,EMPTY_SCENE
481,0,0.0,0,ALERT,EMPTY_SCENE
482,0,0.0,0,ALERT,EMPTY_SCENE
483,0,0.0,0,ALERT,EMPTY_SCENE
484,0,0.0,0,ALERT,EMPTY_SCENE
485,0,0.0,0,ALERT,EMPTY_SCENE
486,0,0.0,0,ALERT,EMPTY_SCENE
487,0,0.0,0,ALERT,EMPTY_SCENE
488,0,0.0,0,ALERT,EMPTY_SCENE
489,0,0.0,0,ALERT,EMPTY_SCENE
490,0,0.0,0,ALERT,EMPTY_SCENE
491,0,0.0,0,ALERT,EMPTY_SCENE
492,0,0.0,0,ALERT,EMPTY_SCENE
493,0,0.0,0,ALERT,EMPTY_SCENE
494,0,0.0,0,ALERT,EMPTY_SCENE
495,0,0.0,0,ALERT,EMPTY_SCENE
496,0,0.0,0,ALERT,EMPTY_SCENE
497,0,0.0,0,ALERT,EMPTY_SCENE
498,0,0.0,0,ALERT,EMPTY_SCENE
499,0,0.0,0,ALERT,EMPTY_SCENE
500,0,0.0,0,ALERT,EMPTY_SCENE
501,0,0.0,0,ALERT,EMPTY_SCENE
502,0,0.0,0,ALERT,EMPTY_SCENE
503,0,0.0,0,ALERT,EMPTY_SCENE
504,0,0.0,0,ALERT,EMPTY_SCENE
505,0,0.0,0,ALERT,EMPTY_SCENE
506,0,0.0,0,ALERT,EMPTY_SCENE
507,0,0.0,0,ALERT,EMPTY_SCENE
508,0,0.0,0,ALERT,EMPTY_SCENE
509,0,0.0,0,ALERT,EMPTY_SCENE
510,0,0.0,0,ALERT,EMPTY_SCENE
511,0,0.0,0,ALERT,EMPTY_SCENE
512,0,0.0,0,ALERT,EMPTY_SCENE
513,0,0.0,0,ALERT,EMPTY_SCENE
514,0,0.0,0,ALERT,EMPTY_SCENE
515,0,0.0,0,ALERT,EMPTY_SCENE
516,0,0.0,0,ALERT,EMPTY_SCENE
517,0,0.0,0,ALERT,EMPTY_SCENE
518,0,0.0,0,ALERT,EMPTY_SCENE
519,0,0.0,0,ALERT,EMPTY_SCENE
520,0,0.0,0,ALERT,EMPTY_SCENE
521,0,0.0,0,ALERT,EMPTY_SCENE
522,0,0.0,0,ALERT,EMPTY_SCENE
523,0,0.0,0,ALERT,EMPTY_SCENE
524,0,0.0,0,ALERT,EMPTY_SCENE
525,0,0.0,0,ALERT,EMPTY_SCENE
526,0,0.0,0,ALERT,EMPTY_SCENE
527,0,0.0,0,ALERT,EMPTY_SCENE
528,0,0.0,0,ALERT,EMPTY_SCENE
529,0,0.0,0,ALERT,EMPTY_SCENE
530,0,0.0,0,ALERT,EMPTY_SCENE
531,0,0.0,0,ALERT,EMPTY_SCENE
532,0,0.0,0,ALERT,EMPTY_SCENE
533,0,0.0,0,ALERT,EMPTY_SCENE
534,0,0.0,0,ALERT,EMPTY_SCENE
