frame_index,event_type,count,mask_occupancy,count_delta
703,EMPTY_SCENE,0,0.0,0
704,EMPTY_SCENE,0,0.0,0
705,EMPTY_SCENE,0,0.0,0
706,EMPTY_SCENE,0,0.0,0
707,EMPTY_SCENE,0,0.0,0
708,EMPTY_SCENE,0,0.0,0
709,EMPTY_SCENE,0,0.0,0
710,EMPTY_SCENE,0,0.0,0
711,EMPTY_SCENE,0,0.0,0
712,EMPTY_SCENE,0,0.0,0
713,EMPTY_SCENE,0,0.0,0
714,EMPTY_SCENE,0,0.0,0
715,EMPTY_SCENE,0,0.0,0
716,EMPTY_SCENE,0,0.0,0
717,EMPTY_SCENE,0,0.0,0
718,EMPTY_SCENE,0,0.0,0
719,EMPTY_SCENE,0,0.0,0
720,EMPTY_SCENE,0,0.0,0
721,EMPTY_SCENE,0,0.0,0
722,EMPTY_SCENE,0,0.0,0
723,EMPTY_SCENE,0,0.0,0
724,EMPTY_SCENE,0,0.0,0
725,EMPTY_SCENE,0,0.0,0
726,EMPTY_SCENE,0,0.0,0
727,EMPTY_SCENE,0,0.0,0
728,EMPTY_SCENE,0,0.0,0
729,EMPTY_SCENE,0,0.0,0
730,EMPTY_SCENE,0,0.0,0
731,EMPTY_SCENE,0,0.0,0
732,EMPTY_SCENE,0,0.0,0
733,EMPTY_SCENE,0,0.0,0
734,EMPTY_SCENE,0,0.0,0
735,EMPTY_SCENE,0,0.0,0
736,EMPTY_SCENE,0,0.0,0
737,EMPTY_SCENE,0,0.0,0
738,EMPTY_SCENE,0,0.0,0
739,EMPTY_SCENE,0,0.0,0
740,EMPTY_SCENE,0,0.0,0
741,EMPTY_SCENE,0,0.0,0
742,EMPTY_SCENE,0,0.0,0
743,EMPTY_SCENE,0,0.0,0
744,EMPTY_SCENE,0,0.0,0
745,EMPTY_SCENE,0,0.0,0
746,EMPTY_SCENE,0,0.0,0
747,EMPTY_SCENE,0,0.0,0
748,EMPTY_SCENE,0,0.0,0
749,EMPTY_SCENE,0,0.0,0
750,EMPTY_SCENE,0,0.0,0
751,EMPTY_SCENE,0,0.0,0
752,EMPTY_SCENE,0,0.0,0
753,EMPTY_SCENE,0,0.0,0
754,EMPTY_SCENE,0,0.0,0
755,EMPTY_SCENE,0,0.0,0
756,EMPTY_SCENE,0,0.0,0
757,EMPTY_SCENE,0,0.0,0
758,EMPTY_SCENE,0,0.0,0
759,EMPTY_SCENE,0,0.0,0
760,EMPTY_SCENE,0,0.0,0
761,EMPTY_SCENE,0,0.0,0
762,EMPTY_SCENE,0,0.0,0
763,EMPTY_SCENE,0,0.0,0
764,EMPTY_SCENE,0,0.0,0
765,EMPTY_SCENE,0,0.0,0
766,EMPTY_SCENE,0,0.0,0
767,EMPTY_SCENE,0,0.0,0
768,EMPTY_SCENE,0,0.0,0
769,EMPTY_SCENE,0,0.0,0
770,EMPTY_SCENE,0,0.0,0
771,EMPTY_SCENE,0,0.0,0
772,EMPTY_SCENE,0,0.0,0
773,EMPTY_SCENE,0,0.0,0
774,EMPTY_SCENE,0,0.0,0
775,EMPTY_SCENE,0,0.0,0
776,EMPTY_SCENE,0,0.0,0
777,EMPTY_SCENE,0,0.0,0
778,EMPTY_SCENE,0,0.0,0
779,EMPTY_SCENE,0,0.0,0
780,EMPTY_SCENE,0,0.0,0
781,EMPTY_SCENE,0,0.0,0
782,EMPTY_SCENE,0,0.0,0
783,EMPTY_SCENE,0,0.0,0
784,EMPTY_SCENE,0,0.0,0
785,EMPTY_SCENE,0,0.0,0
786,EMPTY_SCENE,0,0.0,0
787,EMPTY_SCENE,0,0.0,0
788,EMPTY_SCENE,0,0.0,0
789,EMPTY_SCENE,0,0.0,0
790,EMPTY_SCENE,0,0.0,0
791,EMPTY_SCENE,0,0.0,0
792,EMPTY_SCENE,0,0.0,0
793,EMPTY_SCENE,0,0.0,0
794,EMPTY_SCENE,0,0.0,0
795,EMPTY_SCENE,0,0.0,0
796,EMPTY_SCENE,0,0.0,0
797,EMPTY_SCENE,0,0.0,0
798,EMPTY_SCENE,0,0.0,0
